"Submission Date","1. How intuitive did you find the interface?","2. How easy was it to navigate through the dashboard?","3. Were you able to find the information you needed quickly?","4. Did the layout of the dashboard make sense to you?","5. How satisfied were you with the overall design of the interface?","6. Do you have any suggestions to improve the user experience?"
"2025-02-27 15:16:14","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-27 12:34:18","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely",Satisfied,"No , it's good"
"2025-02-27 12:22:31","Very Intuitive",Easy,"Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-27 10:37:35","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-27 07:06:10","Very Intuitive",Easy,"Somewhat quickly","Yes, completely","Very Satisfied",None
"2025-02-27 05:51:59","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-27 05:48:59","Very Intuitive",Neutral,"Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-27 05:16:47","Very Intuitive",Easy,Neutral,"Yes, completely","Very Satisfied",
"2025-02-27 04:48:36","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",No
"2025-02-27 04:13:10","Very Intuitive","Very Easy","Somewhat quickly","Yes, completely","Very Satisfied",
"2025-02-27 03:54:38","Very Intuitive","Very Easy","Took some time",Mostly,"Very Satisfied",
"2025-02-27 02:52:46","Somewhat Intuitive",Easy,"Yes, very quickly",Neutral,"Very Satisfied",No
"2025-02-27 01:57:41","Very Intuitive","Very Easy","Yes, very quickly",Mostly,"Very Satisfied","It is completely amazing but the colors aren't the best although they aare very good"
"2025-02-27 01:12:12","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","It is Perfect"
"2025-02-27 00:57:47",Neutral,Neutral,Neutral,Neutral,Neutral,
"2025-02-27 00:30:31","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","A wonderful and delightful experience 💕"
"2025-02-27 00:23:55","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","It is completely good"
"2025-02-27 00:09:25","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 23:45:38","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","No the experience was perfect"
"2025-02-26 20:28:01","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 18:54:23","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 18:47:32","Very Intuitive","Very Easy",Neutral,"Yes, completely","Very Satisfied",
"2025-02-26 18:40:05","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 18:37:56","Very Intuitive","Very Easy","Yes, very quickly","Not at all","Very Satisfied",Nothing
"2025-02-26 18:31:45","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",Nope
"2025-02-26 18:27:53","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 18:15:11","Very Intuitive","Very Easy","Yes, very quickly",Mostly,"Very Satisfied","Direct more glassmorphism design"
"2025-02-26 18:07:18","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",.
"2025-02-26 18:04:06","Very Difficult","Very Easy","Yes, very quickly","Yes, completely",Neutral,
"2025-02-26 18:02:09","Very Difficult","Very Easy","Yes, very quickly",Neutral,"Very Satisfied",N/A
"2025-02-26 17:56:24","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:56:03","Very Intuitive",Difficult,"Yes, very quickly","Yes, completely","Very Unsatisfied",
"2025-02-26 17:46:10","Very Intuitive","Very Difficult","Yes, very quickly","Yes, completely","Very Satisfied","It's very cool there is nothing to do"
"2025-02-26 17:34:25","Somewhat Difficult","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",Nope
"2025-02-26 17:29:06",Neutral,"Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","No there's nothing to suggest"
"2025-02-26 17:26:15","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:25:36","Very Intuitive","Very Easy","Took some time","Yes, completely","Very Satisfied","Nope, it is have no things to improve ☝🏻"
"2025-02-26 17:21:33","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:19:57","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",No
"2025-02-26 17:18:32","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely",Unsatisfied,
"2025-02-26 17:15:43","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:15:30","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","make it less simple"
"2025-02-26 17:11:44","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","No thank you"
"2025-02-26 17:08:36","Very Intuitive",Difficult,"Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:07:29","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","No its so perfect 😍"
"2025-02-26 17:05:14","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:04:18","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:03:29","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:03:22","Very Intuitive","Very Easy","No, it was difficult","Yes, completely","Very Satisfied",
"2025-02-26 17:03:21","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 17:03:17","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely",Satisfied,
"2025-02-26 17:00:56","Very Intuitive",Neutral,"Yes, very quickly","Yes, completely","Very Satisfied","add more themes to the ui"
"2025-02-26 17:00:43","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","How come I have a question after this amazing course"
"2025-02-26 17:00:40","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 16:59:55","Very Intuitive","Very Easy","Yes, very quickly","Not really","Very Satisfied",
"2025-02-26 16:58:49","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","be more specific"
"2025-02-26 16:55:30","Very Difficult","Very Difficult","No, it was difficult","Not at all","Very Unsatisfied",
"2025-02-26 16:55:12","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",No
"2025-02-26 16:54:42","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely",Unsatisfied,"All good"
"2025-02-26 16:48:38","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","Just keep going with changing the Color ballet"
"2025-02-26 16:48:27","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",No
"2025-02-26 16:48:16","Very Intuitive","Very Easy","Yes, very quickly","Not at all","Very Satisfied",
"2025-02-26 16:47:55","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 16:47:44","Very Intuitive","Very Easy","No, it was difficult","Yes, completely","Very Satisfied",
"2025-02-26 16:47:43","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied",
"2025-02-26 16:43:53","Very Intuitive","Very Easy","Yes, very quickly","Yes, completely","Very Satisfied","that was perfect"
